,sample_ids,pheno1
0,9378,7.912418864220712
1,9367,12.654742999671992
2,9356,8.640117163075722
3,9355,5.192366453676575
6,9344,11.45693119502294
11,9418,10.039116899818076
26,1374,13.062288389776338
34,203,6.303102361766825
35,236,13.85934308339476
40,264,11.70510575274288
43,318,9.92878424988606
45,79,12.680294126329883
49,12,12.918591924672588
52,288,12.794566134109656
54,252,10.48669453973842
55,296,10.2611606629339
65,393,8.902752209167526
66,205,10.453150699631408
68,62,12.863490387274066
75,230,8.758041345416064
87,216,8.678319557386274
92,387,12.005183593896447
94,224,7.304675120587374
97,295,13.495883460379932
100,292,9.918518827511802
102,337,16.36431787557714
111,349,11.496943629356926
114,204,10.875504579182785
120,214,8.441337868574255
125,183,9.40637958114448
133,174,7.996638912108069
137,311,9.314924363240838
140,163,9.490837491452815
142,302,11.662014712607023
147,184,6.1885643330937
149,170,8.713652978550627
150,396,9.265504253009466
165,257,3.951113771068628
167,9,6.730063786574793
169,89,15.055205081098151
171,69,13.163728824123073
172,188,7.890631122604115
182,8,14.508600690386787
183,4,13.685388471965968
185,51,15.353530098507996
189,355,18.140597200356964
192,179,8.848368643126086
195,461,11.235758518305282
196,466,5.923565477698986
204,9309,14.613540621277942
209,5494,8.810078354447636
214,4632,14.164507633624265
215,5769,10.6435751235975
222,5738,7.874630010891326
224,5826,9.964865538616664
225,5745,14.504682240330812
226,5744,14.537474372837377
230,5762,5.340804837108001
231,5711,17.265720098358656
236,5751,9.232376681073276
239,5792,13.756906904335208
243,5807,10.954768055414291
244,5777,7.961104095076252
248,5731,12.37075966999738
250,5724,9.62895069666508
252,5141,8.116520097135826
261,7113,6.683600901707751
266,7029,10.725908725772952
270,7073,7.398099383735783
274,96,10.006103716986347
275,23,11.5102214931399
279,6226,9.291210870334972
281,6170,6.2334482148671295
288,6116,10.586763370122217
291,6093,8.952310326458468
307,5245,8.014484871520693
309,7195,10.167414860684604
310,7262,7.998288509706519
313,5821,6.371357433647574
315,5715,10.824811949600182
318,5737,12.262902289231498
325,5712,6.670399460523626
338,5799,15.7448270527097
343,5793,12.04167702035928
348,615,11.845098199679814
349,627,14.761855037120776
351,631,13.659462021624986
356,895,10.855389151860791
358,936,14.008252366640978
369,2180,5.418823157335018
375,1981,11.167926644006068
380,2151,9.48990992755072
386,1873,6.711340766911914
391,1926,5.233316625035841
394,1959,8.008089490567516
400,1963,8.211072610520816
402,1736,4.756118248609528
404,1752,7.924324258706592
405,1729,6.7564943263540185
411,1724,4.34563090979077
414,1718,4.99353440666679
415,1726,6.716909084307601
420,2214,6.965490452991779
425,2338,7.56826572187323
434,8608,11.932128456152295
436,8760,9.919540501808818
439,8617,14.718777844660297
442,8619,6.343714839333638
445,8724,11.584086118822068
446,8631,9.572852181667958
447,8725,9.206758519036162
449,8759,11.829067529154411
460,9045,7.525263547147872
466,8957,10.817849259202562
468,8695,8.086478324248016
473,8969,9.575551574019888
476,8954,6.704276371293119
483,9007,8.074054266875912
485,8992,8.82332726162004
488,8719,6.312080208430268
491,1742,7.023605583487773
492,1749,4.29134460343515
495,417,10.810271943015886
498,402,5.584083389416098
500,429,12.526678784133608
508,6417,8.845249639191525
512,5913,7.856001749280452
520,5942,10.049021755556849
522,5970,7.282277075307707
524,5906,6.605984103827609
527,5943,7.673675748937637
530,5972,9.07682926854778
535,5919,11.396107116914129
539,5955,8.68282848265762
542,5927,8.2445485874028
546,5901,4.207026828125635
552,5938,9.68382069747756
553,5959,8.55289408563377
554,5968,8.987850670089134
558,5979,7.053133218393471
561,5992,8.944147968512725
570,5997,5.425127674832815
573,5998,7.819574079405266
574,6427,6.629699213774073
581,6401,9.896071046501811
586,5916,10.761628557885052
590,5996,8.57071675480232
595,5872,3.862333516644761
600,9153,10.10555917859368
604,9201,8.350589749431407
605,6143,4.457319784732468
609,6412,7.074539245439063
611,5870,12.239901443770355
613,6120,8.057037180968539
615,1409,12.259339278085225
622,6964,10.069443025628814
623,6965,6.8477984349291
628,6916,6.266914770615643
632,6972,9.812758536783615
637,7098,9.191111766359878
644,8428,5.887538137309972
653,5753,17.935375508773156
654,6709,13.64712918010656
657,7145,9.127437640732948
662,7330,8.879002850302374
663,178,9.569169904735364
668,8271,10.155587314912236
669,6190,11.511508422915798
671,8296,6.223818498703943
672,8300,7.589104999097171
677,8430,5.828806357675129
697,5987,6.838340546463063
702,94,14.2553059994124
709,8395,9.445993064387856
715,7284,10.049299085050782
716,8245,12.734298322054688
721,6910,13.070993059658194
736,7457,10.088774354425942
740,7079,11.16793541669174
745,7352,13.369786426529728
751,7239,9.773014697693505
752,7281,11.289736853905495
753,7292,5.082853974565223
759,7242,7.902767978662853
761,5385,13.995112754614745
762,5292,13.095610281096848
763,5337,13.456325257320614
766,5386,11.380792218405292
773,5373,8.88760959464131
780,383,9.361750639803528
785,9152,9.10944703347608
790,7252,7.4799093869458275
791,7446,9.363702382746704
795,7391,6.439030593567836
799,380,7.900733398877167
801,5742,12.224085220371832
804,5158,11.34343922597634
806,6730,12.173312879748458
810,7449,7.703039578172307
811,6847,8.763776929033966
812,6953,5.756865089426765
827,7188,1.0
829,7206,8.701445237839998
834,7392,7.116873968826058
836,8692,8.795962109629723
839,7479,4.3592792674307645
840,7482,14.381069955813388
842,7508,8.133237423624964
844,5896,8.818361633588921
845,166,7.13715755528446
848,390,10.087451376053206
850,259,9.741906691861596
851,362,17.130646213391472
852,260,15.075532999220412
859,7004,8.184856326532191
864,6318,5.2964819649479535
866,4927,13.150942754334874
876,5645,9.848502689426908
879,4997,10.36961166370372
880,5341,9.526861280752431
885,1360,9.479563879084452
886,1362,10.306454653344028
887,1256,6.33260446511757
895,108,14.45528297646965
899,350,11.42774918665468
902,410,6.679074860536484
907,476,3.684879970324239
914,628,13.376074206088411
918,685,5.034014407821603
923,765,10.6545131966813
928,853,5.2297536787655545
944,1070,7.421354137434357
946,1166,9.197273424887204
947,1254,4.453064751712522
950,1317,7.648007104250379
951,1552,7.237828056871435
956,1676,4.547326275226983
964,1819,5.038278460536512
972,1872,6.51010023061565
983,2081,4.441068432691169
988,2159,4.9744742094964085
990,2171,6.8243825531242255
997,2278,3.726407173313281
1000,2317,9.174384101065254
1002,2412,3.5759972947234395
1005,4826,13.11513174402188
1013,5104,8.080892542008819
1015,5165,4.9549696317555245
1017,5236,10.744065275940414
1018,5249,7.680840880022567
1020,5276,12.014975605610012
1025,5486,6.043546425987094
1026,5577,12.656725608705964
1028,5651,8.274993152470287
1030,5718,7.200580544376343
1033,5741,6.570607278720107
1034,5748,5.023693186902544
1038,5776,8.215861631056468
1047,5832,6.075739877240542
1049,5837,9.172538346981211
1055,5890,9.124973685719745
1057,5907,7.928311004882769
1058,5921,10.889829774874432
1060,5984,7.133071808221275
1062,6008,7.091403987497422
1066,6012,5.55459326100281
1071,6020,9.124337547329288
1075,6024,8.304994657371655
1076,6025,8.485867492085745
1078,6034,5.901967679048584
1082,6039,8.171603000263133
1088,6064,7.491281828319099
1093,6074,5.629654604516625
1094,6076,7.452453414437057
1095,6077,8.788776091439871
1101,6091,8.84376402464467
1113,6105,5.82837599527393
1119,6112,6.543438284542413
1120,6113,7.837361011965129
1121,6114,8.087931364503458
1122,6115,7.202750325688328
1127,6124,11.968270857179434
1129,6126,9.342024403084546
1132,6132,9.773397688690723
1139,6141,13.279238009336243
1142,6148,10.878106098300863
1147,6154,11.872692568079906
1155,6180,5.893681043716184
1159,6191,6.158182638569492
1164,6198,4.881085466203541
1165,6201,11.807676384293108
1173,6218,8.271440601852468
1178,6237,5.786569572089094
1184,6244,6.246334833101871
1191,6296,4.807038093916426
1201,6744,7.732488136309353
1205,6806,4.158882775409218
1207,6830,5.942761953012061
1208,6897,7.774480830992509
1209,6898,11.208409641904757
1214,6907,8.750098121468941
1218,6913,4.213264198541509
1220,6917,7.351251677809654
1224,6922,5.744759892756841
1236,6944,9.404888284765423
1238,6951,7.527880283892645
1239,6956,8.307419186406479
1246,6966,11.602304424572315
1248,6968,12.240870072376994
1249,6969,11.248650532177138
1250,6970,6.0726893598690825
1251,6971,9.652699844450636
1256,6979,12.234528605473468
1263,6990,4.278665697040414
1267,7002,6.488034086389386
1282,7064,10.969287451923188
1283,7067,13.045369701495709
1286,7072,6.410061633424604
1288,7081,5.816932178613928
1294,7106,4.326035161619254
1297,7111,8.757061335247874
1302,7126,9.379783951472168
1303,7127,15.620263539587754
1304,7130,8.063136338473463
1305,7133,8.291315487369424
1312,7162,11.344981465421537
1313,7163,5.517988413402849
1318,7181,12.339868059092812
1323,7202,4.963335500347275
1326,7208,8.310972023568022
1329,7217,11.78915861924398
1334,7244,5.457795166666838
1349,7306,15.622814078688858
1351,7314,7.747721063368953
1357,7327,6.118311228239883
1359,7332,12.38505017752317
1362,7342,7.380423325811343
1368,7350,6.033600668595602
1369,7353,4.708216122850853
1377,7378,5.690358765864131
1378,7382,7.624204208720106
1381,7387,13.079709373820728
1389,7417,13.325721588482342
1391,7419,11.420599704937716
1392,7424,13.03016363347867
1397,7471,10.345249616234469
1400,7514,11.873876944305504
1406,7523,7.351978024455279
1422,8214,13.858858534527815
1430,8236,7.048864566314911
1433,8239,7.603492768991959
1436,8242,8.909106788318665
1439,8246,5.982686471618069
1444,8259,12.960581884452846
1446,8283,8.544554615201328
1450,8297,9.213067820895828
1451,8306,5.130843813180914
1456,8334,3.244741369824954
1458,8337,11.339215799421336
1463,8365,11.22188655549538
1467,8386,8.2277184370274
1468,8387,8.516122499282638
1469,8419,9.742973807051774
1472,8424,11.180021050072993
1479,9027,5.201179358048742
1485,9075,9.393720289642316
1487,9079,8.677013330590494
1494,9099,10.17000629401658
1505,9121,6.70158914145153
1509,9131,11.620094709060425
1516,9323,5.242375270775327
1521,9352,9.923337316062396
1525,9370,8.296373688649382
1527,9380,12.187281373481134
1532,9388,7.994348234163541
1534,9391,12.335761463397398
1536,9394,10.75903990757887
1540,9404,10.141831716453556
1542,9407,10.63875829115067
1545,9412,12.035764471810502
1548,9421,6.9237221394538455
1551,9436,6.254968368346039
1552,9437,11.868946787524427
1556,9452,8.926244627182335
1557,9453,8.7984892893991
1559,9455,7.932563537426979
1560,9470,7.785280521185421
1565,9506,10.200718073842928
1567,9508,6.534412981161732
1568,9509,8.448719684960867
1571,9512,12.308795257060456
1573,9514,9.767889435231051
1583,9525,7.1060123656677705
1584,9526,9.312385908336411
1588,9530,12.493008333524635
1593,9535,5.418178714068341
1594,9536,9.282274253077158
1595,9537,8.437483735636901
1596,9539,8.732853390401953
1597,9540,5.775836161158313
1603,9546,8.063080128874157
1606,9549,10.61250303389821
1612,9555,8.768702025941867
1622,9567,7.234244183885389
1624,9569,6.9141119414315
1634,9583,9.955894022074355
1635,9584,6.479517854430877
1644,9593,6.57562513901156
1647,9596,13.086774290574676
1649,9598,9.123426357244
1651,9600,7.956810499023264
1655,9607,9.482915971361711
1656,9608,12.671541635488849
1658,9610,10.98020729079344
1664,9617,11.80221376891004
1669,9624,9.115780260595429
1670,9625,7.926588664208879
1674,9629,9.318428458727258
1679,9634,9.44924223637858
1680,9635,7.3598080230433505
1692,9647,9.67147235942809
1695,9651,7.882778149532537
1705,9664,8.862931736932286
1713,9672,8.305598145145005
1718,9679,6.069902533907981
1720,9681,7.227716557140492
1723,9684,8.129657144075313
1726,9687,7.114472797524835
1730,9692,8.950516185253218
1735,9697,8.393555473004163
1738,9700,10.096272320710913
1739,9701,9.759608830960891
1749,9712,8.506108822215486
1751,9714,10.812425451283996
1752,9716,8.491954141447515
1754,9718,11.82204769873217
1757,9721,7.411815595243519
1759,9723,10.831255283625284
1768,9733,9.592505115437902
1775,9743,10.758410897670045
1777,9745,10.29627664784172
1780,9749,7.204945876433817
1785,9758,9.697997513743458
1792,9769,10.391516565432855
1799,9777,7.159589681605842
1803,9781,8.823137205060304
1808,9786,6.90043705449339
1810,9788,10.320875727113108
1811,9789,9.014325779582538
1812,9790,16.080442298286748
1814,9792,5.103150106566365
1824,9802,8.495858224856914
1829,9807,10.078974969875569
1832,9810,9.06465907901343
1837,9815,12.087743477503988
1842,9821,9.164383810634147
1843,9822,3.772065918550487
1851,9831,5.058069775446246
1852,9832,9.967302956430082
1856,9836,7.509383497105205
1857,9837,11.51067235336988
1869,9850,2.589706370095664
1873,9854,16.88088251161164
1887,9870,6.303252415138498
1892,9876,3.0317787253812183
1894,9878,7.341920666637337
1899,9883,5.4165194185304575
1900,9885,12.396677026104935
1903,9888,8.281394743233733
1905,9891,8.276033720436061
1906,9892,13.321511258004117
1907,9894,9.866074189779994
1909,9897,5.558471748531475
1915,9903,6.857443762087138
1917,9905,8.603706139141586
1919,9908,9.962760378644356
1920,9909,11.388333532836896
1923,9912,10.339339796054697
1930,9924,3.039973685596042
1945,9943,8.737320130938961
1946,9944,13.280614721733777
1947,9945,4.406425440233364
1952,9950,5.385803528634634
1959,9958,9.02706975359382
1961,9960,10.370290546675603
1971,9972,11.3229575525111
1973,9974,8.731802085790559
1977,9979,7.941970789065833
1986,9988,10.113370761659494
1987,9990,11.556985826897447
1988,9991,8.953171762248381
1995,10001,10.025721519958974
1996,10002,17.73020636970302
1999,10006,5.064760493271771
2007,10015,7.4317637930956275
2009,10018,8.832833068661683
2011,10022,9.75802757420225
2014,14312,8.142517234724826
2017,14315,10.2254318405556
2018,14318,8.81371289804526
